index,name,album,artist
0,4am,4am,JBee
1,1400 / 999 Freestyle,A Love Letter To You 3,Trippie Redd
2,1st Degree Murder,First Draft,Trippie Redd
3,1999,Still Sleep?,Sleepy Hallow
4,2055,2055,Sleepy Hallow
5,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD
6,bad vibes forever,Bad Vibes Forever,XXXTENTACION
7,Bandit (with YoungBoy Never Broke Again),Death Race For Love (Bonus Track Version),Juice WRLD
8,Calling My Phone,Destined 2 Win,Lil Tjay
9,Carry On,17,XXXTENTACION
10,Empty,Death Race For Love (Bonus Track Version),Juice WRLD
11,Everybody Dies In Their Nightmares,17,XXXTENTACION
12,Ex Bitch,Bad Vibes Forever,XXXTENTACION
13,Chanel,Chanel,Frank Ocean
14,GO (feat. Juice WRLD),F*CK LOVE,The Kid LAROI
15,Graduation (with Juice WRLD),FRIENDS KEEP SECRETS 2,benny blanco
16,Guardian angel,SKINS,XXXTENTACION
17,hate will never win,? (Deluxe),XXXTENTACION
18,HEARTEATER,HEARTEATER,XXXTENTACION
19,Hope,?,XXXTENTACION
20,"I spoke to the devil in miami, he said everything would be fine",LOOK AT ME: THE ALBUM,XXXTENTACION
21,Jocelyn Flores,17,XXXTENTACION
22,Lean Wit Me,Goodbye & Good Riddance,Juice WRLD
23,Litty,Litty,L24
24,love yourself (interlude),? (Deluxe),XXXTENTACION
25,Love Me,We Love You Tecca,Lil Tecca
26,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD
27,Mama Cry,I AM YOU,YNW Melly
28,MEMORIES!,TROUBLED MEMORIES!,347aidan
29,Moonlight,?,XXXTENTACION
30,Not Enough,Fighting Demons (Deluxe),Juice WRLD
31,NOT SOBER (feat. Polo G & Stunna Gambino),F*CK LOVE 3: OVER YOU,The Kid LAROI
32,numb the pain,Bad Vibes Forever,XXXTENTACION
33,Orlando,17,XXXTENTACION
34,Party Girl,Party Girl,StaySolidRocky
35,the remedy for a broken heart (why am I so in love),?,XXXTENTACION
36,Revenge,17,XXXTENTACION
37,Robbery,Death Race For Love (Bonus Track Version),Juice WRLD
38,Rover (feat. DTG),Rover (feat. DTG),S1mba
39,SAD!,?,XXXTENTACION
40,"Save Me, Please",First Draft,Trippie Redd
41,Sex Sounds,True 2 Myself,Lil Tjay
42,Suicidal (Remix) [feat. Juice WRLD],Suicidal (Remix) [feat. Juice WRLD],YNW Melly
43,wanna grow old (i won't let go),Bad Vibes Forever,XXXTENTACION
44,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke
45,YEAH RIGHT,BALLADS 1,Joji
46,Wishing Well,Legends Never Die,Juice WRLD
47,WingRiddenAngel,LOOK AT ME: THE ALBUM,XXXTENTACION
48,Wasted (feat. Lil Uzi Vert),Goodbye & Good Riddance,Juice WRLD
49,Stay High,Legends Never Die,Juice WRLD
50,White Ferrari,Blonde,Frank Ocean
51,Let Me Know (I Wonder Why Freestyle),Let Me Know (I Wonder Why Freestyle),Juice WRLD
52,changes,?,XXXTENTACION
